"value","count","fraction","in_wiki","description","correct"
"2",137843,0.6719,FALSE,"",
"1",46187,0.2251,FALSE,"",
"3",16092,0.0784,FALSE,"",
"4",3462,0.0169,FALSE,"",
"1.5",914,0.0045,FALSE,"",
"5",433,0.0021,FALSE,"",
"6",90,4e-04,FALSE,"",
"8",28,1e-04,FALSE,"",
"1;2",19,1e-04,FALSE,"",
"0",14,1e-04,FALSE,"",
"2;1",10,0,FALSE,"",
"7",9,0,FALSE,"",
"2; 1",8,0,FALSE,"",
"3; 2",8,0,FALSE,"",
"2;3",6,0,FALSE,"",
"2; 3",4,0,FALSE,"",
"1; 2; 2",3,0,FALSE,"",
"3;2",3,0,FALSE,"",
"5; 3",3,0,FALSE,"",
"-2",2,0,FALSE,"",
"-1",2,0,FALSE,"",
"1; 2",2,0,FALSE,"",
"1;2;3",2,0,FALSE,"",
"2;3;4",2,0,FALSE,"",
"1;2;3;4",1,0,FALSE,"",
"10",1,0,FALSE,"",
"4; 3",1,0,FALSE,"",
"2; 4",1,0,FALSE,"",
"1s",1,0,FALSE,"",
"psv",1,0,FALSE,"",
"2;3;1",1,0,FALSE,"",
"3;4;2",1,0,FALSE,"",
"3;4;4",1,0,FALSE,"",
"1;3;2",1,0,FALSE,"",
